;
; WIN30.DAT -- Windows 3.0 functions
; for use with Windows Source
; Copyright (c) 1992-1996 V Communications Inc.  All rights reserved.
;
; KRNL386.EXE
; "Microsoft Windows Kernel Interface Version 3.00"
;
KERNEL . 1	FatalExit
KERNEL . 2	EXITKERNEL
KERNEL . 3	GetVersion
KERNEL . 4	LocalInit
KERNEL . 5	LocalAlloc
KERNEL . 6	LocalReAlloc
KERNEL . 7	LocalFree
KERNEL . 8	LocalLock
KERNEL . 9	LocalUnlock
KERNEL . 10	LocalSize
KERNEL . 11	LocalHandle
KERNEL . 12	LocalFlags
KERNEL . 13	LocalCompact
KERNEL . 14	LocalNotify
KERNEL . 15	GlobalAlloc
KERNEL . 16	GlobalReAlloc
KERNEL . 17	GlobalFree
KERNEL . 18	GlobalLock
KERNEL . 19	GlobalUnlock
KERNEL . 20	GlobalSize
KERNEL . 21	GlobalHandle
KERNEL . 22	GlobalFlags
KERNEL . 23	LockSegment
KERNEL . 24	UnlockSegment
KERNEL . 25	GlobalCompact
KERNEL . 26	GLOBALFREEALL
KERNEL . 28	GLOBALMASTERHANDLE
KERNEL . 29	Yield
KERNEL . 30	WAITEVENT
KERNEL . 31	POSTEVENT
KERNEL . 32	SETPRIORITY
KERNEL . 33	LOCKCURRENTTASK
KERNEL . 34	SETTASKQUEUE
KERNEL . 35	GETTASKQUEUE
KERNEL . 36	GetCurrentTask
KERNEL . 37	GetCurrentPDB
KERNEL . 38	SETTASKSIGNALPROC
KERNEL . 41	ENABLEDOS
KERNEL . 42	DISABLEDOS
KERNEL . 45	LoadModule
KERNEL . 46	FreeModule
KERNEL . 47	GetModuleHandle
KERNEL . 48	GetModuleUsage
KERNEL . 49	GetModuleFileName
KERNEL . 50	GetProcAddress
KERNEL . 51	MakeProcInstance
KERNEL . 52	FreeProcInstance
KERNEL . 53	CALLPROCINSTANCE
KERNEL . 54	GetInstanceData
KERNEL . 55	Catch
KERNEL . 56	Throw
KERNEL . 57	GetProfileInt
KERNEL . 58	GetProfileString
KERNEL . 59	WriteProfileString
KERNEL . 60	FindResource
KERNEL . 61	LoadResource
KERNEL . 62	LockResource
KERNEL . 63	FreeResource
KERNEL . 64	AccessResource
KERNEL . 65	SizeofResource
KERNEL . 66	AllocResource
KERNEL . 67	SetResourceHandler
KERNEL . 68	InitAtomTable
KERNEL . 69	FindAtom
KERNEL . 70	AddAtom
KERNEL . 71	DeleteAtom
KERNEL . 72	GetAtomName
KERNEL . 73	GetAtomHandle
KERNEL . 74	OpenFile
KERNEL . 75	OPENPATHNAME
KERNEL . 76	DELETEPATHNAME
KERNEL . 77	RESERVED1
KERNEL . 78	RESERVED2
KERNEL . 79	RESERVED3
KERNEL . 80	RESERVED4
KERNEL . 81	_lclose
KERNEL . 82	_lread
KERNEL . 83	_lcreat
KERNEL . 84	_llseek
KERNEL . 85	_lopen
KERNEL . 86	_lwrite
KERNEL . 87	RESERVED5
KERNEL . 88	lstrcpy
KERNEL . 89	lstrcat
KERNEL . 90	lstrlen
KERNEL . 91	INITTASK
KERNEL . 92	GetTempDrive
KERNEL . 93	GetCodeHandle
KERNEL . 94	DEFINEHANDLETABLE
KERNEL . 95	LoadLibrary
KERNEL . 96	FreeLibrary
KERNEL . 97	GetTempFileName
KERNEL . 98	GETLASTDISKCHANGE
KERNEL . 99	GETLPERRMODE
KERNEL . 100	ValidateCodeSegments
KERNEL . 101	NOHOOKDOSCALL
KERNEL . 102	DOS3CALL
KERNEL . 103	NETBIOSCALL
KERNEL . 104	GetCodeInfo
KERNEL . 105	GETEXEVERSION
KERNEL . 106	SetSwapAreaSize
KERNEL . 107	SetErrorMode
KERNEL . 108	SwitchStackTo
KERNEL . 109	SwitchStackBack
KERNEL . 110	PATCHCODEHANDLE
KERNEL . 111	GlobalWire
KERNEL . 112	GlobalUnWire
KERNEL . 113	__AHSHIFT
KERNEL . 114	__AHINCR
KERNEL . 115	OutputDebugString
KERNEL . 116	INITLIB
KERNEL . 117	OLDYIELD
KERNEL . 118	GETTASKQUEUEDS
KERNEL . 119	GETTASKQUEUEES
KERNEL . 120	UNDEFDYNLINK
KERNEL . 121	LocalShrink
KERNEL . 122	ISTASKLOCKED
KERNEL . 123	KBDRST
KERNEL . 124	ENABLEKERNEL
KERNEL . 125	DISABLEKERNEL
KERNEL . 126	MEMORYFREED
KERNEL . 127	GetPrivateProfileInt
KERNEL . 128	GetPrivateProfileString
KERNEL . 129	WritePrivateProfileString
KERNEL . 130	FILECDR
KERNEL . 131	GetDOSEnvironment
KERNEL . 132	GetWinFlags
KERNEL . 133	GETEXEPTR
KERNEL . 134	GetWindowsDirectory
KERNEL . 135	GetSystemDirectory
KERNEL . 136	GetDriveType
KERNEL . 137	FatalAppExit
KERNEL . 138	GETHEAPSPACES
KERNEL . 139	DOSIGNAL
KERNEL . 140	SETSIGHANDLER
KERNEL . 141	INITTASK1
KERNEL . 150	DIRECTEDYIELD
KERNEL . 151	WINOLDAPCALL
KERNEL . 152	GetNumTasks
KERNEL . 154	GlobalNotify
KERNEL . 155	GETTASKDS
KERNEL . 156	LimitEmsPages
KERNEL . 157	GETCURPID
KERNEL . 158	ISWINOLDAPTASK
KERNEL . 159	GLOBALHANDLENORIP
KERNEL . 160	EMSCOPY
KERNEL . 161	LOCALCOUNTFREE
KERNEL . 162	LOCALHEAPSIZE
KERNEL . 163	GlobalLRUOldest
KERNEL . 164	GlobalLRUNewest
KERNEL . 165	A20PROC
KERNEL . 166	WinExec
KERNEL . 167	GETEXPWINVER
KERNEL . 168	DIRECTRESALLOC
KERNEL . 169	GetFreeSpace
KERNEL . 170	ALLOCCSTODSALIAS
KERNEL . 171	AllocDStoCSAlias
KERNEL . 172	ALLOCALIAS
KERNEL . 173	__ROMBIOS
KERNEL . 174	__A000H
KERNEL . 175	AllocSelector
KERNEL . 176	FreeSelector
KERNEL . 177	PRESTOCHANGOSELECTOR
KERNEL . 178	__WINFLAGS
KERNEL . 179	__D000H
KERNEL . 180	LONGPTRADD
KERNEL . 181	__B000H
KERNEL . 182	__B800H
KERNEL . 183	__0000H
KERNEL . 184	GlobalDosAlloc
KERNEL . 185	GlobalDosFree
KERNEL . 186	GETSELECTORBASE
KERNEL . 187	SETSELECTORBASE
KERNEL . 188	GETSELECTORLIMIT
KERNEL . 189	SETSELECTORLIMIT
KERNEL . 190	__E000H
KERNEL . 191	GlobalPageLock
KERNEL . 192	GlobalPageUnlock
KERNEL . 193	__0040H
KERNEL . 194	__F000H
KERNEL . 195	__C000H
KERNEL . 196	SELECTORACCESSRIGHTS
KERNEL . 197	GlobalFix
KERNEL . 198	GlobalUnfix
KERNEL . 199	SetHandleCount
KERNEL . 200	ValidateFreeSpaces
KERNEL . 201	REPLACEINST
KERNEL . 202	REGISTERPTRACE
KERNEL . 203	DebugBreak
KERNEL . 204	SwapRecording
KERNEL . 205	CVWBREAK
KERNEL . 206	ALLOCSELECTORARRAY
;
; GDI.EXE
; "Microsoft Windows Graphics Device Interface"
;
GDI . 1	SetBkColor
GDI . 2	SetBkMode
GDI . 3	SetMapMode
GDI . 4	SetROP2
GDI . 5	SETRELABS
GDI . 6	SetPolyFillMode
GDI . 7	SetStretchBltMode
GDI . 8	SetTextCharacterExtra
GDI . 9	SetTextColor
GDI . 10	SetTextJustification
GDI . 11	SetWindowOrg
GDI . 12	SetWindowExt
GDI . 13	SetViewportOrg
GDI . 14	SetViewportExt
GDI . 15	OffsetWindowOrg
GDI . 16	ScaleWindowExt
GDI . 17	OffsetViewportOrg
GDI . 18	ScaleViewportExt
GDI . 19	LineTo
GDI . 20	MoveTo
GDI . 21	ExcludeClipRect
GDI . 22	IntersectClipRect
GDI . 23	Arc
GDI . 24	Ellipse
GDI . 25	FloodFill
GDI . 26	Pie
GDI . 27	Rectangle
GDI . 28	RoundRect
GDI . 29	PatBlt
GDI . 30	SaveDC
GDI . 31	SetPixel
GDI . 32	OffsetClipRgn
GDI . 33	TextOut
GDI . 34	BitBlt
GDI . 35	StretchBlt
GDI . 36	Polygon
GDI . 37	Polyline
GDI . 38	Escape
GDI . 39	RestoreDC
GDI . 40	FillRgn
GDI . 41	FrameRgn
GDI . 42	InvertRgn
GDI . 43	PaintRgn
